Nome de uma definição de BAdI;Ponto de ampliação;Descrição;
/0SJ7L/ES_REA_MM;J_7L_ES_REA_MM;Ponto de ampliação integração REA MM;
/ACCGO/ACM_CUST_FIELD_DEFAULT;/ACCGO/ES_CUS_FIELD_DEFAULTING;Definir valores padrão para campos de Atualizar aplicações A;
/ACCGO/ADD_ON_TAB_STL;/ACCGO/CAS_ES_ADD_ON_STL;Para abas de add-on em Liquidação;
/ACCGO/ADD_ON_TAB_STL_INT;/ACCGO/ADD_ON_TAB_STL_INT;Para guias add-on na utilização interna de liquidação;
/ACCGO/ADD_ON_TAB_STL_NON_BR;/ACCGO/CAS_ES_ADD_ON_STL;Fichas de add-on em liquidação para empresas não brasileiras;
/ACCGO/ADD_ON_TAB_UIS;/ACCGO/UIS_ES_ADD_ON_TAB;Aba add-on em EDC;
/ACCGO/BADI_ACC_SPLIT_CRITERIA;/ACCGO/ACCRUAL_ES;BAdI para adição de critérios de partição de provisão;
/ACCGO/BADI_ACM_CNTRC_SAVE;/ACCGO/ES_ACM_MNTNCONTR_ODATA;;
/ACCGO/BADI_ACM_CNTRCTSNP_MPC;/ACCGO/ES_ACM_CNTRCTSNP_ODATA;BAdI: ampliações de IU no app Fiori Instantâneo;
/ACCGO/BADI_ACM_CPE_TERM_INPUT;/ACCGO/ES_ACM_RECON_REP;BAdI para chamar dados de entrada termo CPE;
/ACCGO/BADI_ACM_MAINT_CTRCT;/ACCGO/ES_ACM_MAINT_CTRCT;BAdI: adicionar ampliações de IU no app Atualizar contratos;
/ACCGO/BADI_ACM_MAINT_SNAPSHOT;/ACCGO/ES_ACM_MAINT_SNAPSHOT;BAdI: adicionar ampliações de IU no app Fiori Instantâneo;
/ACCGO/BADI_ACM_MNTN_PRCNG_DPC;/ACCGO/ES_CAK_MAINTAIN_PRICING;BAdI: ampliações back-end no app Atualizar visão geral de pr;
/ACCGO/BADI_ACM_MNTN_PRCNG_MPC;/ACCGO/ES_CAK_MAINTAIN_PRICING;BAdI: ampliações de IU no app Atualizar visão geral de preço;
/ACCGO/BADI_ACM_MNTNCONTR_DPC;/ACCGO/ES_ACM_MNTNCONTR_ODATA;;
/ACCGO/BADI_ACM_MNTNCONTR_MPC;/ACCGO/ES_ACM_MNTNCONTR_ODATA;BAdI: ampliações de IU no app Fiori Atualizar contratos ACM;
/ACCGO/BADI_ACM_RECON_REP;/ACCGO/ES_ACM_RECON_REP;BAdI: relatório de reconciliação ACM;
/ACCGO/BADI_APP_RETURN_VAL;/ACCGO/ES_RETURN_VALIDATION;BAdI: validação de devolução;
/ACCGO/BADI_APPL_MAN_PRC_DIST;/ACCGO/ES_APPL_MAN_PRC_DIST;BAdI: distribuição de determinação de preços manual;
/ACCGO/BADI_APPL_MOVE_UNASSIGN;/ACCGO/ES_APPL_MOVE_2_UNASSIGN;BAdI: validar e modificar dados para deslocar para não atrib;
/ACCGO/BADI_APPL_MWC_UI;/ACCGO/ES_VEHICLE_CONTRACTS;Definição de BAdI para IU de centro de trabalho de aplicação;
/ACCGO/BADI_APPL_VEND_SPLIT;/ACCGO/ES_APPL_VEND_SPLIT;BAdI: validações durante processo de partição do fornecedor;
/ACCGO/BADI_BASIS_QUOTE_CALL;/ACCGO/CAK_ES_FBO;BAdI para notificar cotação base;
/ACCGO/BADI_BRF_FEE_MODIFY;/ACCGO/FEE_BRF_ES;BAdI para modificar taxa de BRF+ com base em eventos de dete;
/ACCGO/BADI_CAK_COPY_CONTROL;/ACCGO/ES_CAK_COPY_CONTROL;BAdI: controle de cópia para Fiori;
/ACCGO/BADI_CAK_FINAL_STL_QTY;/ACCGO/ES_CAK_FINAL_STL_QTY;BAdI para quantidade liquidada final;
/ACCGO/BADI_CAK_FP;/ACCGO/ES_CAK_FP;BAdI para chamar preço;
/ACCGO/BADI_CAK_HNDL_PRC_FX_UI;/ACCGO/ES_CAK_HANDLE_PRC_FX_UI;BAdI para tratar IU de fixação de preço;
